student_id,track_name,date_enrolled,date_completed,days_for_completion,track_completed,student_track_id,completion_bucket
295506,"Data Scientist",2022-10-20,NULL,NULL,0,1,NULL
295496,"Data Analyst",2022-10-20,NULL,NULL,0,2,NULL
295456,"Business Analyst",2022-10-20,NULL,NULL,0,3,NULL
295448,"Data Analyst",2022-10-20,NULL,NULL,0,4,NULL
295421,"Data Scientist",2022-10-20,NULL,NULL,0,5,NULL
295370,"Business Analyst",2022-10-19,NULL,NULL,0,6,NULL
295328,"Data Analyst",2022-10-19,NULL,NULL,0,7,NULL
295307,"Data Scientist",2022-10-20,NULL,NULL,0,8,NULL
295303,"Data Scientist",2022-10-19,NULL,NULL,0,9,NULL
295300,"Data Scientist",2022-10-19,NULL,NULL,0,10,NULL
295300,"Data Analyst",2022-10-19,NULL,NULL,0,11,NULL
295300,"Business Analyst",2022-10-19,NULL,NULL,0,12,NULL
295283,"Data Scientist",2022-10-19,NULL,NULL,0,13,NULL
295264,"Data Analyst",2022-10-19,NULL,NULL,0,14,NULL
295260,"Data Analyst",2022-10-19,NULL,NULL,0,15,NULL
295258,"Data Scientist",2022-10-19,NULL,NULL,0,16,NULL
295253,"Data Scientist",2022-10-18,NULL,NULL,0,17,NULL
295241,"Data Scientist",2022-10-18,NULL,NULL,0,18,NULL
295225,"Data Scientist",2022-10-18,NULL,NULL,0,19,NULL
295224,"Data Analyst",2022-10-18,NULL,NULL,0,20,NULL
295219,"Data Analyst",2022-10-18,NULL,NULL,0,21,NULL
295211,"Data Scientist",2022-10-18,NULL,NULL,0,22,NULL
295207,"Data Analyst",2022-10-18,NULL,NULL,0,23,NULL
295181,"Data Scientist",2022-10-18,NULL,NULL,0,24,NULL
295177,"Data Scientist",2022-10-18,NULL,NULL,0,25,NULL
295177,"Data Analyst",2022-10-18,NULL,NULL,0,26,NULL
295177,"Business Analyst",2022-10-18,NULL,NULL,0,27,NULL
295176,"Data Scientist",2022-10-18,NULL,NULL,0,28,NULL
295174,"Data Analyst",2022-10-18,NULL,NULL,0,29,NULL
295164,"Data Analyst",2022-10-18,NULL,NULL,0,30,NULL
295164,"Business Analyst",2022-10-18,NULL,NULL,0,31,NULL
295151,"Data Scientist",2022-10-18,NULL,NULL,0,32,NULL
295122,"Data Scientist",2022-10-18,NULL,NULL,0,33,NULL
295106,"Data Scientist",2022-10-18,NULL,NULL,0,34,NULL
295088,"Data Analyst",2022-10-19,NULL,NULL,0,35,NULL
295058,"Data Analyst",2022-10-17,NULL,NULL,0,36,NULL
295056,"Data Analyst",2022-10-17,NULL,NULL,0,37,NULL
295050,"Data Analyst",2022-10-17,NULL,NULL,0,38,NULL
295047,"Business Analyst",2022-10-17,NULL,NULL,0,39,NULL
295000,"Data Analyst",2022-10-17,NULL,NULL,0,40,NULL
294981,"Business Analyst",2022-10-16,NULL,NULL,0,41,NULL
294962,"Data Scientist",2022-10-16,NULL,NULL,0,42,NULL
294960,"Data Analyst",2022-10-16,NULL,NULL,0,43,NULL
294950,"Data Analyst",2022-10-16,NULL,NULL,0,44,NULL
294949,"Data Scientist",2022-10-16,NULL,NULL,0,45,NULL
294948,"Data Analyst",2022-10-16,NULL,NULL,0,46,NULL
294925,"Data Analyst",2022-10-16,NULL,NULL,0,47,NULL
294924,"Data Analyst",2022-10-16,NULL,NULL,0,48,NULL
294914,"Data Scientist",2022-10-16,NULL,NULL,0,49,NULL
294907,"Data Analyst",2022-10-16,NULL,NULL,0,50,NULL
294857,"Data Scientist",2022-10-15,NULL,NULL,0,51,NULL
294853,"Data Analyst",2022-10-17,NULL,NULL,0,52,NULL
294849,"Data Scientist",2022-10-15,NULL,NULL,0,53,NULL
